,Date,Cases,Deaths,Recovered,Travel_history,Province,City
914,4/22/2020,12,0,10,Local - Social Contact,Sindh,Tando M. Khan
915,4/22/2020,10,0,0,Local - Social Contact,Sindh,Jamshoro
916,4/22/2020,6,0,0,Local - Social Contact,Sindh,Badin
917,4/22/2020,2,0,0,Local - Social Contact,Sindh,Sanghar
918,4/22/2020,4,0,0,Local - Social Contact,Sindh,Thatta
919,4/22/2020,38,0,18,Local - Social Contact,Sindh,Hyderabad
920,4/22/2020,155,2,32,Local - Social Contact,Sindh,Karachi
921,4/22/2020,15,1,0,Local - Social Contact,Sindh,Sukkur
922,4/22/2020,56,0,0,Local - Social Contact,Baluchistan,Quetta
923,4/22/2020,7,0,3,Local - Social Contact,Gilgit-Baltistan,Gilgit
924,4/22/2020,1,0,0,Local - Social Contact,Azad Jummu Kashmir,Muzaffarabad
925,4/22/2020,2,0,0,Afghanistan,Khyber Pakhtunkhwa,Peshawar
926,4/22/2020,2,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Peshawar
927,4/22/2020,0,1,0,Local - Social Contact,Khyber Pakhtunkhwa,Charsadda
928,4/22/2020,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Nowshera
929,4/22/2020,29,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Swat
930,4/22/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Buner
931,4/22/2020,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dir Lower
932,4/22/2020,17,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Malakand
933,4/22/2020,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Mansehra
934,4/22/2020,6,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Battagram
935,4/22/2020,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Karak
936,4/22/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Kurrum
937,4/22/2020,39,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
938,4/22/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Bannu
939,4/22/2020,1,1,0,Local - Social Contact,Khyber Pakhtunkhwa,Mardan
940,4/22/2020,1,1,0,Local - Social Contact,Khyber Pakhtunkhwa,Swat
